Gene	Length	logFC.treatmentWT	logFC.treatmentRT	logFC.treatmentDT	logCPM	F	PValue	FDR
AT3G26230	1852	0.555106236341793	1.27274817201434	2.85909295601588	4.75810997297368	209.863606999838	4.13623328409517e-15	2.09487290110407e-12
AT5G60800	1380	0.0657270951746387	0.111814021047833	3.05778601241499	3.5674127542011	204.333893776606	5.03604768429217e-15	2.47330984300979e-12
AT1G51800	3036	1.3749480717041	3.02001325548746	5.90746627905758	4.00760600814295	232.530934500839	5.21390340470025e-15	2.4853450729405e-12
AT3G44400	4828	0.916805155726015	1.62359738430295	2.48376563126521	3.99295163150607	202.316837873875	5.46780714678463e-15	2.53190715508396e-12
AT1G08450	1642	1.07139734623915	1.5412599804249	2.9889290896294	7.31045031135907	202.82754211816	6.43846675588141e-15	2.86818041594149e-12
AT1G51850	2955	1.55212448369296	2.94257635785667	5.91371679892908	2.42042338910379	198.48546520045	6.64330350629776e-15	2.86818041594149e-12
AT1G71695	1480	-0.456062083862189	-0.604828295036335	-1.36468241862199	6.66995423144391	197.475353041434	6.88926316404317e-15	2.86818041594149e-12
AT5G24210	1865	1.94564378755076	2.5314914045957	4.5950647822515	6.52422085690472	226.865621231303	6.90189647817105e-15	2.86818041594149e-12
AT5G02290	1885	0.364674693272612	0.906662549431022	1.71189220890518	5.92762364026689	196.452697385691	7.23894785983709e-15	2.87200315648475e-12
AT4G23140	2598	0.970905986859798	2.54421159664415	3.9762914016345	4.59862099006403	211.672132446434	7.2655105458058e-15	2.87200315648475e-12
AT1G10340	2042	2.29577194155425	3.36748368187492	5.6117351301691	5.54440479225193	235.14267178268	7.79567387622823e-15	3.00820205981026e-12
AT1G51620	1483	1.918554777447	3.25117399877453	6.06442665086915	1.91721314636678	194.311794257953	8.03605810356389e-15	3.02884636475488e-12
AT3G25510	4489	0.932666145343856	2.14452042109712	4.01632648320304	2.49936946278551	192.13023767522	8.94893693270465e-15	3.18344533179406e-12
AT5G11920	2300	1.5417080331419	2.09104819375162	8.03979623682518	2.14737601225486	200.891603290631	8.99378238784168e-15	3.18344533179406e-12
AT5G67340	2902	0.933281650891494	1.51011734626369	3.15477402501678	3.87768136054663	191.936193660789	9.03550843848501e-15	3.18344533179406e-12
AT5G38250	2099	1.18015014717693	1.92921226104991	5.72109190431253	1.14835493135347	190.083526308614	9.91013360837995e-15	3.41730926363859e-12
AT3G48090	2551	0.573027021331778	1.18578730079144	2.69151461356775	5.78870316462748	193.191433851118	1.04006508728559e-14	3.51173643117448e-12
AT2G26560	1644	1.63492580965783	1.78927622642946	4.07610802590501	4.02518873984871	191.170407461226	1.42502677538096e-14	4.71334876502024e-12
AT5G25250	1713	2.54518633621887	2.65584764318556	4.46738703983431	5.62315255184272	203.127088976864	1.56350583414324e-14	5.01958859319391e-12
AT4G04490	2268	1.03109390242817	1.35277220594126	5.01278526226381	4.27480746157147	211.111887774501	1.60162749849515e-14	5.01958859319391e-12
AT3G01290	1663	2.04609083992188	2.71352919254685	4.5611584791887	7.15377666613823	206.88262975815	1.61053006013502e-14	5.01958859319391e-12
AT1G13340	1590	0.800176876023958	1.36395723211727	4.11631278901768	4.38135429459689	198.52414813207	1.79805165709697e-14	5.49830626539068e-12
AT2G19190	2700	1.95582228807167	3.13476070634262	7.66728136009801	3.84246252964679	214.849972791552	1.9397108815989e-14	5.82164708482839e-12
AT2G29110	3001	2.37630855629965	4.15717405371889	6.95992812336328	2.53820264063721	182.171146730446	2.02315551567199e-14	5.91073077604998e-12
AT4G18253	1042	1.60640074224886	1.94207594049257	6.22641844342616	2.7594474282756	188.717940208205	2.04233308730054e-14	5.91073077604998e-12
AT1G11310	2709	0.178552386017529	0.664528521705115	1.34870751480308	6.34211968070422	175.12529471822	2.16074242798036e-14	6.14371097022415e-12
AT5G51465	612	2.37510504672338	4.55645710175638	8.24781059880614	2.62686992850557	186.680519667279	2.50621354341056e-14	7.00313843069913e-12
AT3G47480	1080	2.08377362503434	2.27988042870528	5.16948592973449	4.22514714802514	194.668323429328	2.62505741408167e-14	7.21089923898671e-12
AT5G08240	1521	0.784286420382691	2.11001597658523	4.36909827038272	3.25672471534974	175.967300528993	2.84792164837565e-14	7.68977973600733e-12
AT1G67520	3210	0.311024329547531	0.523528112095362	2.76611864122046	2.45193051708299	169.813914149973	2.89428372861385e-14	7.68977973600733e-12
AT1G60140	4361	-0.110855083795513	1.10264025216687	1.64861590780999	5.44806846108797	168.434949360467	3.12695298834074e-14	8.17395598097392e-12
AT1G01680	1187	1.93049976880617	2.31230925236469	5.60891888989594	2.06259233586854	167.785818898006	3.24354823692595e-14	8.34415655172364e-12
AT5G44670	2106	0.0199707307409047	-0.598219673134867	-1.32704376522807	4.98697483408041	166.00911545472	3.58790375444938e-14	9.08580564818142e-12
AT5G10380	1179	1.28390086500092	1.83438356247106	3.71266935407698	6.33337656252456	183.503886929993	4.01418834306219e-14	1.00089154578475e-11
AT1G08050	2490	0.828978678864911	1.39569726247381	3.90918401430138	3.54767970147361	169.992310185581	4.26869147114246e-14	1.03747126079091e-11
AT5G25440	1554	1.47137878272297	2.33358392873389	3.11451630512662	5.3659273554087	169.223970357528	4.37709580991301e-14	1.03747126079091e-11
AT2G44380	1196	2.4614384032456	4.39881068795425	6.60257176019855	3.29114912501972	178.980518299282	4.41695051487463e-14	1.03747126079091e-11
AT2G17290	2645	0.456688349919109	0.892375218245335	1.74126106228027	5.25554563566335	160.191511030579	5.02971505224025e-14	1.14735375452765e-11
AT5G54710	2142	1.21021116524311	1.9024699548433	3.36268905330781	5.01213648595834	170.463244940711	5.05147113622516e-14	1.14735375452765e-11
AT3G03640	1765	0.00442481411043992	0.319288226291571	1.66318397559955	3.98070645145111	159.966203445654	5.09714754895977e-14	1.14735375452765e-11
AT5G61210	1743	0.337101032465616	0.729323034426319	1.69262284498417	6.65003918980079	159.51465722863	5.23530874955386e-14	1.16231025895917e-11
AT3G51440	1329	0.561144721656815	0.665118960398094	3.27995665133525	3.61744375634551	162.355681424255	5.37970689381962e-14	1.16891364054734e-11
AT1G80460	2128	0.628854039422481	1.08038220950769	2.09567679195955	6.36933235446586	158.964328352661	5.40929987295923e-14	1.16891364054734e-11
AT2G26440	2104	1.12194148561788	1.31105795792446	3.66179254394995	4.7587876945326	174.626978824065	5.64915524101456e-14	1.20468235514635e-11
AT1G72930	1127	1.64663743127566	1.96918484216435	3.09573214874495	7.20193354218691	163.87038499146	5.97564781225017e-14	1.25775745575505e-11
AT1G16670	1929	0.267825432095283	0.467884190521148	1.46183857113502	4.01370939202428	156.97984807446	6.09166180983016e-14	1.26080214752124e-11
AT1G73805	2397	1.76882521499476	2.55254090364749	4.3789756979877	5.16559215496875	178.99719908669	6.14570060184968e-14	1.26080214752124e-11
AT5G17760	2126	0.0950061376848706	0.00106487225374249	2.45424557573992	3.81864247320387	156.232824127228	6.37264557000663e-14	1.29101833441372e-11
AT3G47780	3281	0.700044396213345	1.25517379177949	3.21788995951963	2.78085215481923	155.351243681706	6.72275008105309e-14	1.33946899550029e-11
AT4G25070	2673	2.81078555319607	3.10168777371455	5.99957185715265	3.6080441910161	172.910232596251	6.7770998723406e-14	1.33946899550029e-11
AT1G65486	1033	0.686905614482599	2.19532114368777	4.73455387026475	3.57104692835713	169.692074733425	7.29964778089959e-14	1.42536616367518e-11
AT3G13380	4517	0.0812310748913436	0.371687130566005	1.96145539897474	4.17250061374678	153.496927532488	7.53039464147699e-14	1.45291792802878e-11
AT1G06650	1481	0.319588325409874	0.482141222810156	1.23015931347668	5.45047893858098	153.143892679785	7.69595800339947e-14	1.4673928395423e-11
AT4G04500	2209	1.45831345548091	2.90661274930148	6.03033865367146	2.04911495188287	153.814850799629	7.88687216641966e-14	1.47668848903393e-11
AT4G23230	1884	0.701597317482552	1.65735176744069	3.06746660215806	3.58494179160185	152.66509802695	7.92693888726797e-14	1.47668848903393e-11
AT3G07520	2816	-0.0432940887312714	0.433072828073351	1.61539732595611	3.91450033440496	152.202455166093	8.15739977866434e-14	1.5023520251456e-11
AT4G11890	1683	1.69806410540473	2.67829667837694	5.22986358052315	4.95447919681849	180.844984401235	9.14363756723626e-14	1.6650666747438e-11
AT1G30900	2567	1.63504145957931	1.72182324844374	4.670407070604	4.39431634945307	173.006537797683	9.40886552163898e-14	1.6943275945467e-11
AT1G14870	1092	1.47927294024797	2.64066082960609	5.39565272706121	3.19014166856623	161.632122587391	1.00634685578166e-13	1.79229269139048e-11
AT2G14080	4056	0.323967954449335	0.812066564820071	1.24697322966872	6.4532345038871	148.496942200789	1.02935440906578e-13	1.81334205518794e-11
AT5G09290	1301	1.32541055288467	0.995973791525164	4.95621902355534	2.39956086079625	150.246451089499	1.11138872942298e-13	1.93680399330734e-11
AT3G61280	2079	1.46805857558792	0.998567818133351	3.03270528466876	5.4281645727453	156.262040052213	1.16679489446712e-13	2.01172817602431e-11
AT1G24145	1026	1.33788038709648	2.20428663936431	4.06143314073502	4.53614449147516	161.384749456296	1.2364479313524e-13	2.10938017088719e-11
AT1G59870	4930	0.349637589013347	1.03554244758363	1.87991812064431	9.68224863878002	144.661499382295	1.31731330188181e-13	2.22392673787484e-11
AT1G74590	1153	-0.167888452019737	-0.184432341154395	1.89837835516531	2.27555365577405	142.549240147311	1.51303191233606e-13	2.51745640151177e-11
AT2G17720	1426	0.565622774889423	0.762788737286833	1.57203791190736	4.66751058614463	142.311293457043	1.5370154565856e-13	2.51745640151177e-11
AT1G04280	2510	0.460728490320108	0.814453270150084	1.77028251480664	4.46317296799903	142.19953243223	1.54842452746313e-13	2.51745640151177e-11
AT1G61250	1548	0.140667747960367	0.376946516528458	1.27590120959742	6.73693763824994	142.151911014375	1.55331424786312e-13	2.51745640151177e-11
AT4G23470	1858	0.407180474602497	0.590577997515234	1.5501397597208	6.82543880483522	141.931687670934	1.5761488102321e-13	2.52917265024075e-11
AT1G13210	4194	0.618725665177666	1.56711784736053	2.12953552735756	6.45993699697345	141.565270309983	1.62226275613679e-13	2.56342166504209e-11
AT5G42250	1651	1.22083803744825	0.793882620067292	1.83864954497795	4.80366338057725	141.434011499531	1.62912588078815e-13	2.56342166504209e-11
AT3G16950	2329	-0.079106571134461	-0.154253948069716	-1.14276467300604	6.71068271337108	140.976756519283	1.6795327675561e-13	2.6173257272867e-11
AT2G01540	1215	0.194139822044867	0.405984298520277	1.64999305616954	4.27518973916746	140.725060774591	1.70801040305117e-13	2.63635472402384e-11
AT1G65250	1633	0.673370784464202	0.779593847770351	2.35035139897576	2.72310717701571	140.479984656882	1.73625084231583e-13	2.65466201900119e-11
AT4G04610	1935	-1.16702208327307	-1.20197310647631	-3.28911074081919	4.0258553163299	140.298451832789	1.75750061658172e-13	2.66203855074206e-11
AT1G61360	3345	0.817083148380088	1.3114623489106	3.10647394455254	3.58877668510555	139.777932946934	1.84678217370733e-13	2.75147156328839e-11
AT5G47120	1303	-0.0590617825960688	0.205942217869533	1.30920908685364	6.09927925441021	139.531457962679	1.85049916948501e-13	2.75147156328839e-11
AT2G30250	1776	0.639578986774205	1.84347050908104	2.42887443696068	5.51340787243814	142.714659274204	1.88955782608442e-13	2.78400578975911e-11
AT1G70530	2871	0.61980012389256	1.6180835289138	2.45277852932415	5.53428087268134	142.157772293604	1.96676210581096e-13	2.84867869669102e-11
AT1G30730	1946	2.12489140898768	3.87483591582873	6.05707165364929	3.15913231188663	151.901845512177	1.96860624439683e-13	2.84867869669102e-11
AT1G03400	1469	0.829432850412847	0.728633767485862	1.67006036408706	5.40818268192357	136.222386146707	2.31881245013829e-13	3.3257516264948e-11
AT1G32700	1641	0.166132766149386	0.75209849074603	1.77075262246577	5.54042434151572	135.512793920276	2.43540051013388e-13	3.46232772524034e-11
AT5G37740	1155	0.748622316797846	0.83733262915271	2.38094737270461	3.02190634200703	135.371653323351	2.45935173882908e-13	3.46597509836548e-11
AT5G58940	2578	0.405209774784476	0.979250020171409	2.04445968788276	3.55457864064026	135.064648496794	2.51235062580918e-13	3.49809735993279e-11
AT1G69720	1346	1.5185888454265	1.74252976176973	3.24633029711338	3.34823637530052	134.990649941657	2.52531246444213e-13	3.49809735993279e-11
AT3G56710	1431	1.71824205734268	1.94647843227669	3.18772626827956	5.13104355004861	141.634912202583	2.72288072324653e-13	3.73980744759801e-11
AT1G74360	3694	0.512015009348384	1.24633227487529	2.93789221849568	4.04746503828322	137.253347838704	2.75314098743799e-13	3.74959293978214e-11
AT3G26500	1855	1.24982928736714	1.93305485094238	4.27259377793918	3.13494359970997	137.363975928485	3.10044836195873e-13	4.18741388352209e-11
AT1G79380	1820	0.474817033508845	1.01524456751903	1.35135324748502	6.37316303917235	130.427255200755	3.48688882014531e-13	4.67041381058637e-11
AT2G39518	943	1.98788432490636	2.91936722046605	6.15763390883976	1.21338667397343	129.869184631397	3.62988416327851e-13	4.82209283887334e-11
AT3G51950	3157	-0.45370295829582	-0.61219399496816	-1.11752747473794	7.94852273385699	129.645490171068	3.68900477016578e-13	4.83556608839363e-11
AT1G26420	1818	1.77482622667584	2.61183599152007	5.8749376267543	2.51594614273059	137.042405757973	3.69969886444629e-13	4.83556608839363e-11
AT4G23700	2817	0.293787362266202	0.887460647898528	5.56804561409773	1.89891342788608	133.50244502508	3.78896752252801e-13	4.91262373100891e-11
AT2G03510	1462	0.517127225935753	0.484671609836952	1.19732419747355	5.26360957756756	128.867512784787	3.90302419929574e-13	5.02034231730048e-11
AT1G33720	3017	1.32701223195182	1.89653434017369	4.5013781438913	4.70873613001741	152.533376259675	3.93495736193825e-13	5.02156330432546e-11
AT4G02050	2180	0.370116609217714	0.716635127629603	1.91431081988284	4.6082658673551	128.312401494198	4.0640871801412e-13	5.14413755780328e-11
AT2G34590	1674	-0.263117052835496	-0.368221588225828	-1.2518737315722	8.13027633897837	128.21034238572	4.09448846150813e-13	5.14413755780328e-11
AT1G23840	1244	0.582418364237391	0.93526489653804	3.17418752161885	3.11695906022321	127.748759751078	4.2889688192759e-13	5.34702443492342e-11
AT1G65790	2925	0.412759668798075	1.73511140498437	3.01823349333838	4.39592340917148	134.085950856506	4.69832615355009e-13	5.81265434889971e-11
AT1G51270	3205	0.835390090284517	1.05372669326701	2.76751727240065	4.07548915269371	127.578030969497	4.82771699013011e-13	5.92748554992718e-11
AT3G15095	2461	-0.372677242669971	-0.584755495044102	-1.12675804374719	7.14410177198773	125.467288215354	5.01325022774096e-13	6.10900349180435e-11
AT4G37900	2907	0.268475208705072	0.442819080212535	2.06877736805554	2.08670902593451	125.046601183607	5.17325703704924e-13	6.23965713778697e-11
AT4G23570	1764	0.495477290873639	0.65281389695547	1.68661064216562	6.01306954745405	124.980393841582	5.19894717290752e-13	6.23965713778697e-11
AT1G65845	777	0.93348559207188	1.76455596306048	3.49284771181374	6.32147224079069	142.909007050012	5.23596822816701e-13	6.23965713778697e-11
AT3G13330	5907	0.377610632174541	0.64001643165925	1.39636039308433	6.5201648629823	124.280658365644	5.47922231304023e-13	6.48188000200314e-11
AT2G44180	1780	0.280891554853488	0.429790809128184	1.27366727722771	5.12837736990096	123.832464269633	5.66746706170506e-13	6.64080506446682e-11
AT4G27740	654	0.675913987722254	1.19709343886483	1.97128779991429	4.14737815106288	123.767093250712	5.69551369137341e-13	6.64080506446682e-11
AT4G03450	2249	3.13001992101981	3.22713678721391	6.11039730281741	3.56099330683148	139.930368559136	6.02200161794129e-13	6.91091442805778e-11
AT5G40780	2287	0.696375771112816	1.09362230830274	3.34313791799977	5.4350219579701	140.612226857541	6.0455897498475e-13	6.91091442805778e-11
AT1G24150	2794	1.33602470503469	2.14451402371874	2.65975157419241	4.30761715978048	123.122603722322	6.05509871527244e-13	6.91091442805778e-11
AT1G73810	1510	1.51374961191734	2.15808812085965	4.94494467693284	1.77784655755716	122.562133950726	6.2408502195374e-13	7.07310905650648e-11
AT5G52920	2221	-0.230371212431064	-0.468062655864775	-1.32378594508893	8.56063218928922	122.122186952042	6.45408825277492e-13	7.26398668838355e-11
AT4G25110	1830	3.06566324770285	2.5748025421701	4.88759162390585	3.31192272285778	128.913056705417	6.5344444538589e-13	7.30370629404766e-11
AT4G35600	1777	0.22823174276089	0.273625951342822	1.04697630925036	5.34042892735703	121.827917313959	6.60119168552491e-13	7.32777490734946e-11
AT3G46080	786	1.36733499609385	2.35241963117529	5.55055526526876	1.12872812907265	121.465611435607	6.78740018532501e-13	7.4373075365144e-11
AT4G38560	1793	0.914211908460552	2.19790610137708	4.09584319517096	3.37437920517079	129.082360655305	6.79164259520042e-13	7.4373075365144e-11
AT1G18890	2681	0.37825752654615	1.00338075411241	1.70130739780317	5.25028683478986	120.238198034266	7.46253778527946e-13	8.06395606970083e-11
AT1G17290	2378	0.277968075744982	0.338779170176425	1.24773337195963	7.58236649598988	120.142699962826	7.51808818523471e-13	8.06395606970083e-11
AT1G30640	2658	0.254931745062271	0.635358025195889	1.36331916291286	4.0257912329479	120.101360689167	7.54227598585621e-13	8.06395606970083e-11
AT3G11820	1659	0.899355651506904	1.34401079845454	2.03261217736883	5.9653395293595	120.066205179177	7.56291307826572e-13	8.06395606970083e-11
AT1G34180	2303	0.881706930346087	1.81934778458352	3.92913494356598	2.09953903385431	119.840230652418	7.69705918879308e-13	8.15334890671695e-11
AT5G04930	4659	0.406493166208518	0.333057101896189	1.3432835563314	6.94754300219871	119.264053963293	8.05110898922832e-13	8.47300801223528e-11
AT2G18680	1166	0.518148374097626	1.78874149262529	3.75685436051902	0.857455564748212	119.121120740764	8.14169021204593e-13	8.51305633978248e-11
AT3G20500	1542	0.443620752930632	0.769561671057007	1.41912470928981	5.97407781810526	118.328996097855	8.66447641807759e-13	9.00161341716561e-11
AT5G14930	2202	0.57461956079236	0.942762128879693	1.99329749989065	5.20689911631043	117.686036444378	9.11604508708593e-13	9.36389763847817e-11
AT5G61330	2551	-0.229963575216605	-0.599245644301572	-1.33247306003027	6.08533437964859	117.668463257626	9.12874576960295e-13	9.36389763847817e-11
AT5G48380	2844	0.471556574510037	1.29045838685945	2.25288017064851	6.96654877411557	120.765109811074	9.36026829055291e-13	9.54099799905604e-11
AT4G11850	3254	0.813721305111017	0.874178036643774	2.12020351026575	5.40556673929925	117.224697542079	9.82480152066252e-13	9.95190989033609e-11
AT1G27330	906	0.549186006587163	0.900559809690512	1.65730608553099	4.28370163740102	116.632083614783	9.91338395341003e-13	9.97926793372152e-11
AT2G27660	2512	2.87778612607337	3.9354439028925	6.95828981829647	4.23962686687476	140.849439043554	1.03935338783387e-12	1.0398024911496e-10
AT2G45010	1771	0.705434436297406	0.82320232983915	1.77224821776616	4.30196748513574	115.76782991886	1.0624673721215e-12	1.05640544171614e-10
AT1G33960	1767	2.26038035398126	2.30518922477528	7.60940046471276	6.2234821047092	149.837076069448	1.0721665901164e-12	1.05954901987905e-10
AT2G38290	1979	0.323455468003419	0.673120471919744	1.66690599679883	4.74508201931427	114.055625502119	1.2205805560585e-12	1.19890600436606e-10
AT1G64280	2614	0.274557548006111	0.528963901556728	1.28699894633138	5.3880058921814	113.586261520991	1.26832888023716e-12	1.23830157602432e-10
AT4G04510	2271	0.277663627204284	2.20108381996975	6.13352694749591	1.88710628763046	119.11355231293	1.31441934325989e-12	1.27561642492293e-10
AT1G58225	792	1.1627111846405	2.38655439139638	4.07044864884102	2.27309901922328	112.858459870097	1.34648745735004e-12	1.2989596560281e-10
AT1G69840	1977	0.307443006332494	0.741602366488518	1.59110521964205	6.11975865532896	112.609672116387	1.37440937279722e-12	1.3180504559127e-10
AT2G13790	2502	0.558062494174479	1.3964630599764	2.27935524403358	5.95274894265939	116.698069465787	1.38397484552186e-12	1.31941648949252e-10
AT5G53550	3038	0.141769586066087	0.790949863051586	2.15323397839137	5.4945026218529	116.810101977277	1.42219865736351e-12	1.34792828303452e-10
AT3G45040	2186	-0.104401692985272	0.814083731447921	1.20077939696551	4.82935431925703	111.934513686996	1.45345008023203e-12	1.36953868897212e-10
AT1G78830	1956	1.09023515975654	1.74957877934044	2.32719908131542	7.7493819398782	113.37947796979	1.48122914499535e-12	1.38346892068567e-10
AT3G26210	2189	0.759770864445316	1.7750122700057	3.89167697582391	5.6329198806397	132.021603116014	1.51774088191911e-12	1.40560151275788e-10
AT4G14610	2649	0.745994451034449	1.18838041300178	2.26302281385246	3.35338460602508	111.280212481962	1.53484995300905e-12	1.41337006752373e-10
AT5G45510	4318	0.433921777434213	0.564361373669998	1.51790993629956	8.77299713890802	111.099980716614	1.55814492491287e-12	1.42671496034253e-10
AT5G26170	1082	0.212218249934431	-0.242161389164538	2.93238561924008	2.2221063427689	110.921040297059	1.58165876448853e-12	1.4401091907902e-10
AT4G08850	4162	0.370104453644001	1.03861958864846	2.06573617551659	8.28777414184584	111.391692164187	1.6451017817154e-12	1.48614078533749e-10
AT5G25910	2436	0.707303264992364	1.65878541263153	4.34861296835406	1.62105518537172	110.413150770435	1.65055433677268e-12	1.48614078533749e-10
AT1G62310	5501	-0.759948807255944	-0.899264692988889	-1.27190277601286	5.10429910354011	110.195202769287	1.68112704854049e-12	1.4970343997635e-10
AT1G68690	3534	0.591032176468262	1.14764294099314	2.11021037468841	3.01267842731338	109.917857595772	1.72093699779536e-12	1.52411070618958e-10
AT3G51330	2278	2.75148184866277	2.69809235467019	5.32123131231821	5.23735768203507	132.556842193007	1.74952359317908e-12	1.54100700405725e-10
AT2G04495	1082	1.78420169916037	2.90830307053295	5.18824443890654	1.52829954555757	109.257000325356	1.82004586367964e-12	1.59445855744086e-10
AT5G53370	2098	0.384268907383754	0.578714108040256	1.49553993765987	6.88733432811431	108.588303834942	1.92676770207322e-12	1.67887764233875e-10
AT5G54720	1502	1.03101999906129	1.60215631268416	3.07228396413245	3.0586960800461	108.510222386925	1.93967211007012e-12	1.6810837373212e-10
AT1G13470	1404	2.90091857396405	3.04031371023899	5.69582632857937	4.90684424440498	130.776302932786	1.97077882720531e-12	1.69330856690873e-10
AT5G43470	3953	0.437499126111842	0.639029040746454	1.05621970617968	7.87260189871628	108.30128518564	1.97467340745202e-12	1.69330856690873e-10
AT4G21120	3588	2.02809056335799	2.83452947841981	5.58874838977363	3.31068369550979	122.093184802784	2.01592198066891e-12	1.71958144951058e-10
AT5G62630	2489	0.825610171907858	0.892427910687912	2.04168010403675	4.46464802096161	107.508207643918	2.114003018659e-12	1.79380350384327e-10
AT5G42830	1668	0.496604401554073	1.68509830654108	4.76518408632947	3.19610085987338	120.444863415338	2.16265080813045e-12	1.82552508580053e-10
AT3G29034	872	2.26545514479942	2.00330976132167	4.16047023665056	1.80051567667386	106.572909877207	2.29240173089058e-12	1.92502356748931e-10
AT3G09490	1321	0.496347973905665	1.03389880306739	2.0643280131713	1.87017342566562	105.940724748494	2.42235408714228e-12	2.01543735953035e-10
AT1G70520	2403	0.609305944002861	1.2298125855028	2.0313433540569	6.12085550450035	107.300672348448	2.4249415999779e-12	2.01543735953035e-10
AT4G23210	2621	2.4822694564422	3.72107407607742	6.169273394473	5.60068477410393	130.991488270692	2.49940578893899e-12	2.0667280419048e-10
AT1G59620	3021	0.17111144690022	0.751066241132799	1.11094055548734	4.5194618599793	104.836943156334	2.66914250784841e-12	2.18478750629793e-10
AT1G07000	2276	0.818144138084716	1.664280620805	2.26782515554077	5.96197779219637	108.507233794025	2.69225890985003e-12	2.19263518351455e-10
