	drug catabolic process	antibiotic catabolic process	hydrogen peroxide metabolic process	hydrogen peroxide catabolic process	cellular response to hypoxia	antibiotic metabolic process	cellular response to decreased oxygen levels	cellular response to oxygen levels	reactive oxygen species metabolic process	cofactor catabolic process	cellular oxidant detoxification	cellular detoxification	response to hypoxia	cellular response to toxic substance	response to oxidative stress	response to decreased oxygen levels	response to oxygen levels
AT2G25000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G69720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G13260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G14770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G29034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G13340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G76960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G19960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G60680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G51330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G11530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G05070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G08760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G15720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G32450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G24530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G48540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G11740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G47480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G44790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G26560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G29120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G54710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G09932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G24550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G41100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G20560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G18690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G13750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G41830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G23210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G19240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G41170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G22235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G25070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G60900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G55240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G41110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G32680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G21240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G14390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT1G21250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G03450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT3G46600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G21310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G48080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G62950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G04745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G13100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G61350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G35710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G14365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G33960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G45860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G14880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02360	0	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0
AT5G20250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G31020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G59930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G14780	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
AT5G52640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G28540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G67520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G30900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G59220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G65481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G37770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G38940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G25510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G48490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G09560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G17040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G12040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G21080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G21380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G43150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G24145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G14400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G64120	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G15080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G11890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G06570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G52342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G14620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G22530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G49940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G15390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G21910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G31880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G28510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G21650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G14560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G11521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39210	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AT4G23320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G00970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G18210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G55450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G07195	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
AT2G23130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G33720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G12420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G09710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G45970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G22231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G26440	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G01610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G13437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G58770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G75750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G12490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G19610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G77640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G19250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G24140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G02490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G39380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G44900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G10860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G69490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G09770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G50200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G62730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G26690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G25450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G22600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G27400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G16690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G65870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G23100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G51790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G49680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G24200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G41900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G32960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G12480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G25260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G54720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G11740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G06520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G67860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G04695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G48657	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
AT1G76930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G23150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G41800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G54750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G21460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G59240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G59570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G47270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G54540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G22570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G33610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G35230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G16530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G23450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G52720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G37530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G35140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G18570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G44380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G03540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G04070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G10250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G43910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G26150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G20825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G50010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G40010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G37370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G38900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G72910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G47480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G12220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G54970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G20142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G25130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G23120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G53110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G23140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G25810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G48630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G18485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G08555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G52810	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
AT5G08250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G48640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G51660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G38870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G09270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G22470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G47550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G12500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G04450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G06320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G14180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G20470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G43420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G57785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G25510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G23220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G59700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G74000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G34940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G18170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G33730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G28580	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G61255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G16420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G22160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G25640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G30730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G44550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G50470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G23690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G27660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G22620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G45000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G25810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G28890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G48130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G07620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G13950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G02990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G58225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G05250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G20310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G28110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G26500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G36430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G49120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G18700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G51890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G52730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G12470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G04720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G27940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G25882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G22500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G05320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G47130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G24600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G55170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G46940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G57630	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
AT5G47330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G16630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G21390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G02885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G10550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G02210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G41810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G22540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G07780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G21350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G30280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G55180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G05510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G23260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G06720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G18200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G54230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G41590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G41880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G23550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G25190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G31970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G21120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G05390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
