	geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
11	GO:0009636	response to toxic substance	http://amigo.geneontology.org/amigo/term/GO:0009636	348	12	2.69509361760284	4.4525354969574	1.81591375383316e-05	0.00406104348584508	818289;820264;829479;829795;829907;829908;830443;833954;836533;837252;843218;28720712	AT5G64120;AT4G33420;AT4G37530;AT5G39580;AT4G37520;AT2G37130;AT5G05300;AT4G36430;AT5G05600;AT1G68850;AT1G07400;AT3G10930
12	GO:0080134	regulation of response to stress	http://amigo.geneontology.org/amigo/term/GO:0080134	382	12	2.9584073618514	4.05623652602402	4.50914313825379e-05	0.00924374343342027	816273;819907;820264;827084;827913;830142;830401;831983;835358;839544;2746202;28720712	AT5G18650;AT5G48657;AT1G02660;AT4G39830;AT4G03450;AT5G05190;AT3G07195;AT5G52810;AT4G14390;AT5G05300;AT2G17660;AT3G10930
13	GO:0098869	cellular oxidant detoxification	http://amigo.geneontology.org/amigo/term/GO:0098869	173	8	1.33980228691176	5.97103026181571	6.27277057556608e-05	0.011870012012225	818289;829479;829795;829907;829908;833954;836533;843218	AT5G64120;AT4G33420;AT4G37530;AT5G39580;AT4G37520;AT2G37130;AT4G36430;AT1G68850
14	GO:1990748	cellular detoxification	http://amigo.geneontology.org/amigo/term/GO:1990748	176	8	1.36303585258075	5.8692513368984	7.07814749476565e-05	0.0124373163122311	818289;829479;829795;829907;829908;833954;836533;843218	AT5G64120;AT4G33420;AT4G37530;AT5G39580;AT4G37520;AT2G37130;AT4G36430;AT1G68850
15	GO:0043086	negative regulation of catalytic activity	http://amigo.geneontology.org/amigo/term/GO:0043086	244	9	1.88966334107786	4.7627531340405	0.000124850150206468	0.0204754246338608	814690;817184;818471;819130;819368;832209;834044;834377;843537	AT2G26440;AT2G01610;AT2G38870;AT2G47550;AT5G43570;AT2G45220;AT5G20860;AT1G72060;AT5G40460
16	GO:0044092	negative regulation of molecular function	http://amigo.geneontology.org/amigo/term/GO:0044092	256	9	1.98259760375382	4.53949908088235	0.000179013306735754	0.0275232959106221	814690;817184;818471;819130;819368;832209;834044;834377;843537	AT2G26440;AT2G01610;AT2G38870;AT2G47550;AT5G43570;AT2G45220;AT5G20860;AT1G72060;AT5G40460
17	GO:0006955	immune response	http://amigo.geneontology.org/amigo/term/GO:0006955	385	11	2.98164092752039	3.68924369747899	0.000215052307390384	0.0311193338929615	816273;819907;830943;831863;833523;835358;835639;838043;842430;2746202;28720712	AT5G10760;AT5G48657;AT1G14780;AT1G61360;AT3G07195;AT5G03350;AT5G35580;AT5G52810;AT5G05300;AT5G55460;AT2G17660
18	GO:0031349	positive regulation of defense response	http://amigo.geneontology.org/amigo/term/GO:0031349	112	6	0.867386451642294	6.91733193277311	0.000239939986182658	0.0327917981116299	816273;819907;830142;835358;839544;2746202	AT5G48657;AT1G02660;AT4G39830;AT3G07195;AT5G52810;AT2G17660
19	GO:0080167	response to karrikin	http://amigo.geneontology.org/amigo/term/GO:0080167	122	6	0.944831670538928	6.350337512054	0.000380445770765458	0.0484349131879277	828511;828836;830443;831965;834910;28721276	AT5G48540;AT5G57785;AT5G18470;AT5G05600;AT4G24110;AT4G27280
20	GO:0002376	immune system process	http://amigo.geneontology.org/amigo/term/GO:0002376	417	11	3.22946562798961	3.40613626745662	0.000423411401943907	0.0484349131879277	816273;819907;830943;831863;833523;835358;835639;838043;842430;2746202;28720712	AT5G10760;AT5G48657;AT1G14780;AT1G61360;AT3G07195;AT5G03350;AT5G35580;AT5G52810;AT5G05300;AT5G55460;AT2G17660
21	GO:0098754	detoxification	http://amigo.geneontology.org/amigo/term/GO:0098754	229	8	1.77349551273291	4.51086565630619	0.000427467079934019	0.0484349131879277	818289;829479;829795;829907;829908;833954;836533;843218	AT5G64120;AT4G33420;AT4G37530;AT5G39580;AT4G37520;AT2G37130;AT4G36430;AT1G68850
22	GO:0050776	regulation of immune response	http://amigo.geneontology.org/amigo/term/GO:0050776	125	6	0.968065236207918	6.19792941176471	0.00043315776021724	0.0484349131879277	816273;819907;833523;835358;2746202;28720712	AT5G48657;AT3G07195;AT5G35580;AT5G52810;AT5G05300;AT2G17660
